assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,,,0,115918,0,0,0,0,0,0,1,0,0.5,0,Rúnar Alex,0,0,0,0,547,FALSE,0,0,,,45,0,0,0,115918.jpg,0,0,0,Rúnarsson,0,FALSE,,a,1,3,0,0,1354,10,993,4,0,0,Rúnarsson,0
0,0,42,0,0,1,167199,0,0,0,0,20.2,0,3,0,0,0,Thomas,1,2,0,9,567,FALSE,42.8,232,Thigh injury - Unknown return date,2020-11-09T00:00:26.507224Z,50,0,0,0,167199.jpg,1.5,0,0,Partey,0.7,FALSE,,i,1,3,27,6,104311,38,66639,991,0.2,1.2,Partey,1
0,4,180,,,4,98980,0,0,3,-3,0,0,1,1.8,1.8,0,Emiliano,1.8,11,0,20.4,12,FALSE,205,720,,,48,0,0,1,98980.jpg,5.1,0,23,Martínez,27.4,FALSE,,a,2,7,0,41,1861499,1899,427858,2206,0.4,8.5,Martínez,0
0,0,0,25,25,0,21205,0,0,0,0,0,0,1,0,0,0,Tom,0,0,0,0,28,FALSE,0,0,Lack of match fitness - 25% chance of playing,2020-08-15T10:00:11.430596Z,45,0,0,0,21205.jpg,0,0,0,Heaton,0,FALSE,,d,2,7,0,0,1099,3,2993,11,0,0,Heaton,0
0,0,8,,,0,37339,0,0,-2,2,15.9,0,2,0.2,0.2,0,Ahmed,0.2,0,0,2.8,29,FALSE,7.6,33,,,43,0,0,0,37339.jpg,1,0,0,El Mohamady,0.3,FALSE,,a,2,7,4,2,8212,26,23459,47,0,0.5,El Mohamady,0
0,0,0,0,0,0,40564,0,0,-1,1,0,0,3,0,0,0,Henri,0,0,0,0,30,FALSE,0,0,Not included in Aston Villa's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.217167Z,44,0,0,0,40564.jpg,0,0,0,Lansbury,0.1,FALSE,,n,2,7,0,0,4487,3,15204,36,0,0,Lansbury,0
0,0,0,,,0,47390,0,0,-2,2,0,0,2,0,0,0,Neil,0,0,0,0,31,FALSE,0,0,,,43,0,0,0,47390.jpg,0,0,0,Taylor,0.2,FALSE,,a,2,7,0,0,9723,25,20995,31,0,0,Taylor,0
0,0,0,,,0,79852,0,0,0,0,0,0,1,0,0,0,Jed,0,0,0,0,32,FALSE,0,0,,,40,0,0,0,79852.jpg,0,0,0,Steer,5.3,FALSE,,a,2,7,0,0,190892,276,162961,377,0,0,Steer,0
1,3,60,,,2,85242,0,0,0,0,79.3,1,3,0.2,0.2,0,Conor,0.2,0,1,16.6,33,FALSE,63.4,152,,,60,0,0,0,85242.jpg,6,0,0,Hourihane,0.1,FALSE,,a,2,7,23,18,22698,20,22038,45,0,3,Hourihane,0
0,0,0,0,0,0,89274,0,0,-1,1,0,0,3,0,0,0,José Ignacio,0,0,0,0,34,FALSE,0,0,Contract ended,2020-10-05T07:17:10.828418Z,59,0,0,0,89274.jpg,0,0,0,Peleteiro Romallo,0,FALSE,,u,2,7,0,0,1420,0,7312,13,0,0,Jota,0
